Species,Total_protein,Total_IDP
Cryptococcus_neoformans, 6941, 3587
Cryptococcus_neoformans, 6996, 3610
Cryptococcus_neoformans, 6949, 3580
Cryptococcus_neoformans, 6942, 3576
Cryptococcus_neoformans, 6942, 3595
Cryptococcus_neoformans, 6943, 3558
Cryptococcus_neoformans, 6947, 3581
Cryptococcus_neoformans, 6927, 3587
Cryptococcus_neoformans, 7826, 4036
Cryptococcus_neoformans, 6940, 3570
Cryptococcus_neoformans, 6911, 3585
Cryptococcus_neoformans, 6909, 3548
Cryptococcus_neoformans, 6941, 3602
Cryptococcus_neoformans, 6942, 3579
Cryptococcus_neoformans, 6862, 3545
Cryptococcus_neoformans, 6912, 3556
Cryptococcus_neoformans, 6578, 3492
Cutaneotrichosporon_oleaginosum, 8320, 3997
Cyberlindnera_fabianii, 5509, 2060
Cyberlindnera_fabianii, 5674, 2176
Cyberlindnera_jadinii, 5057, 1725
Cyberlindnera_jadinii, 6032, 1833
Cylindrobasidium_torrendii, 13936, 5189
Cyphellophora_europaea, 11094, 5128
Dacryopinax_primogenitus, 10240, 3778
Dactylellina_haptotyla, 10959, 5122
Daedalea_quercina, 12192, 4693
Daldinia_sp, 11161, 4601
Debaryomyces_fabryi, 6027, 2100
Debaryomyces_hansenii, 6272, 2251
Diaporthe_ampelina, 10704, 4328
Diaporthe_helianthi, 13139, 6033
Dichomitus_squalens, 7192, 2529
Diplocarpon_rosae, 13761, 6684
Diplodia_corticola, 10839, 5800
Diplodia_seriata, 9343, 4004
Diplodia_seriata, 8050, 3697
Dothistroma_septosporum, 12415, 4970
Drechmeria_coniospora, 8236, 4527
Drechslerella_stenobrocha, 5597, 2950
Edhazardia_aedis, 4190, 703
Elaphomyces_granulatus, 7178, 3230
Elsinoe_australis, 9223, 4575
Emergomyces_pasteuriana, 8950, 4436
Emmonsia_crescens, 8908, 4388
Emmonsia_crescens, 9444, 4375
Emmonsia_parva, 8201, 4337
Emmonsia_parva, 8562, 3993
Emmonsia_sp, 8769, 4314
Encephalitozoon_cuniculi, 1834, 207
Encephalitozoon_hellem, 1928, 187
Encephalitozoon_intestinalis, 1939, 193
Encephalitozoon_romaleae, 1831, 171
Endocarpon_pusillum, 9238, 4895
Enterocytozoon_bieneusi, 3632, 207
Enterocytozoon_hepatopenaei, 2536, 313
Enterospora_canceri, 2169, 300
Epicoccum_nigrum, 12025, 5236
Eremothecium_cymbalariae, 4434, 1486
Eremothecium_gossypii, 4774, 1681
Erysiphe_necator, 6484, 2579
Erysiphe_pulchra, 6859, 2815
Escovopsis_weberi, 6870, 3451
Eutypa_lata, 11685, 4543
Exidia_glandulosa, 26690, 8661
Exophiala_aquamarina, 13118, 4829
Exophiala_dermatitidis, 9578, 5004
Exophiala_mesophila, 10347, 5246
Exophiala_oligosperma, 13234, 6098
Exophiala_sideris, 11120, 5245
Exophiala_spinifera, 12049, 5259
Exophiala_xenobiotica, 13187, 5948
Exserohilum_turcica, 11698, 5148
Fibroporia_radiculosa, 9262, 3798
Fibularhizoctonia_sp, 32854, 9696
Fistulina_hepatica, 9387, 3033
Fomitiporia_mediterranea, 533, 160
Fomitopsis_pinicola, 13852, 5266
Fonsecaea_erecta, 12090, 5462
Fonsecaea_monophora, 11984, 5348
Fonsecaea_multimorphosa, 12369, 5507
Fonsecaea_multimorphosa, 11804, 5338
Fonsecaea_nubica, 11681, 5304
Fonsecaea_pedrosoi, 12527, 5508
Fusarium_culmorum, 12472, 5065
Fusarium_fujikuroi, 14815, 5812
Fusarium_fujikuroi, 14799, 5686
Fusarium_fujikuroi, 14830, 5666
Fusarium_fujikuroi, 15182, 5780
Fusarium_fujikuroi, 15852, 5922
Fusarium_fujikuroi, 16054, 6015
Fusarium_fujikuroi, 16088, 6006
Fusarium_graminearum, 14145, 5501
Fusarium_graminearum, 13313, 5191
Fusarium_graminearum, 13355, 5347
Fusarium_langsethiae, 11940, 5162
Fusarium_mangiferae, 15804, 6028
Fusarium_nygamai, 16019, 6084
Fusarium_oxysporum, 17696, 6255
Fusarium_oxysporum, 26246, 10278
Fusarium_oxysporum, 15438, 5595
Fusarium_oxysporum, 14459, 5236
Fusarium_oxysporum, 22487, 9317
Fusarium_oxysporum, 27347, 10587
Fusarium_oxysporum, 24733, 9973
Fusarium_oxysporum, 26719, 10564
Fusarium_oxysporum, 26378, 10549
Fusarium_oxysporum, 17168, 6418
Fusarium_oxysporum, 24739, 9930
Fusarium_oxysporum, 25666, 10297
Fusarium_oxysporum, 25216, 10063
Fusarium_oxysporum, 24818, 9950
Fusarium_oxysporum, 23735, 9690
Fusarium_oxysporum, 16976, 6230
Fusarium_poae, 14740, 6420
Fusarium_proliferatum, 16143, 6030
Fusarium_proliferatum, 15254, 5770
Fusarium_pseudograminearum, 12448, 5192
Fusarium_solani, 15705, 5668
Fusarium_venenatum, 13946, 5381
Fusarium_verticillioides, 14185, 5089
Gaeumannomyces_graminis, 14650, 7410
Galerina_marginata, 21391, 6632
Ganoderma_sinense, 15478, 6435
Gelatoporia_subvermispora, 12123, 4647
Glarea_lozoyensis, 13083, 5495
Gloeophyllum_trabeum, 11755, 4577
Gonapodya_prolifera, 13831, 5770
Grifola_frondosa, 15039, 5336
Grosmannia_clavigera, 8312, 4074
Gymnopus_luxurians, 14604, 3903
Hanseniaspora_guilliermondii, 4070, 1150
Hanseniaspora_opuntiae, 4167, 1271
Hanseniaspora_osmophila, 4657, 2085
Hanseniaspora_uvarum, 3043, 816
Hanseniaspora_uvarum, 4061, 1198
Hanseniaspora_valbyensis, 4772, 1384
Hebeloma_cylindrosporum, 15376, 5135
Helicocarpus_griseus, 10224, 4733
Hepatospora_eriocheir, 3052, 167
Hepatospora_eriocheir, 2691, 166
Hesseltinella_vesiculosa, 11139, 3766
Heterobasidion_irregulare, 13275, 4810
Hirsutella_minnesotensis, 9390, 4109
Histoplasma_capsulatum, 9254, 4322
Histoplasma_capsulatum, 9547, 4208
Histoplasma_capsulatum, 9445, 4333
Histoplasma_capsulatum, 9313, 4393
Hortaea_werneckii, 15620, 8385
Hydnomerulius_pinastri, 7914, 2780
Hypholoma_sublateritium, 17771, 6425
Hyphopichia_burtonii, 5996, 2056
Hypoxylon_sp, 11701, 4804
Hypoxylon_sp, 12245, 4720
Hypoxylon_sp, 12531, 4793
Hypsizygus_marmoreus, 15561, 5951
Jaapia_argillacea, 16375, 5752
Jaminaea_rosea, 6858, 4115
Kalmanozyma_brasiliensis, 5765, 3283
Kazachstania_africana, 5378, 1786
Kazachstania_naganishii, 5321, 2120
Kluyveromyces_dobzhanskii, 4957, 1743
Kluyveromyces_lactis, 5076, 1744
Kluyveromyces_marxianus, 4952, 1851
Kluyveromyces_marxianus, 4912, 1887
Kockovaella_imperatae, 7392, 3817
Komagataella_pastoris, 5040, 1639
Komagataella_pastoris, 5057, 1685
Komagataella_phaffii, 5291, 1709
Komagataella_phaffii, 5282, 1724
Komagataella_phaffii, 5057, 1693
Komagataella_phaffii, 5064, 1692
Kuraishia_capsulata, 6029, 1913
Kwoniella_bestiolae, 9133, 4840
Kwoniella_dejecticola, 8602, 4783
Kwoniella_heveanensis, 7927, 4766
Kwoniella_heveanensis, 7871, 4758
Kwoniella_mangroviensis, 8429, 4566
Kwoniella_mangroviensis, 8422, 4528
Kwoniella_mangroviensis, 8429, 4538
Kwoniella_pini, 7829, 4057
Laccaria_amethystina, 21033, 6459
Laccaria_bicolor, 18215, 5995
Lachancea_dasiensis, 5096, 1820
Lachancea_fermentati, 5233, 1751
Lachancea_lanzarotensis, 5058, 1881
Lachancea_meyersii, 4998, 1835
Lachancea_mirantina, 5056, 1721
Lachancea_nothofagi, 5154, 1842
Lachancea_quebecensis, 5074, 1852
Lachancea_sp, 5059, 1902
Lachancea_thermotolerans, 5092, 1895
Laetiporus_sulphureus, 13745, 4884
Lentinula_edodes, 12051, 4477
Leptosphaeria_maculans, 12469, 5430
Leucoagaricus_sp, 698, 133
Leucosporidium_creatinivorum, 9854, 4545
Lichtheimia_corymbifera, 13404, 5586
Lichtheimia_ramosa, 11542, 5151
Lipomyces_starkeyi, 8183, 2503
Lobosporangium_transversale, 11822, 5155
Lodderomyces_elongisporus, 5799, 2686
Lomentospora_prolificans, 8560, 3875
Macrophomina_phaseolina, 13806, 5393
Madurella_mycetomatis, 10707, 4878
Magnaporthe_oryzae, 12755, 5840
Magnaporthe_poae, 11370, 5649
Malassezia_globosa, 4286, 1933
Malassezia_pachydermatis, 4202, 1976
Malassezia_sympodialis, 3318, 1443
Malassezia_sympodialis, 4502, 2003
Malassezia_vespertilionis, 3791, 1709
Marssonina_brunnea, 10027, 5034
Meira_miltonrushii, 7452, 3798
Melampsora_laricipopulina, 16372, 7488
Meliniomyces_bicolor, 18617, 6230
Meliniomyces_variabilis, 20386, 6720
Metarhizium_acridum, 9849, 4384
Metarhizium_album, 8472, 4261
Metarhizium_anisopliae, 11688, 4918
Metarhizium_anisopliae, 10891, 4601
Metarhizium_anisopliae, 11456, 4671
Metarhizium_anisopliae, 11415, 4677
Metarhizium_anisopliae, 10795, 4505
Metarhizium_brunneum, 10689, 4585
Metarhizium_guizhouense, 11787, 5025
Metarhizium_majus, 11535, 4928
Metarhizium_rileyi, 8764, 4159
Metarhizium_robertsii, 12384, 5148
Metschnikowia_bicuspidata, 5838, 1679
Meyerozyma_guilliermondii, 5920, 2033
Microbotryum_intermedium, 8142, 4256
Microbotryum_violaceum, 7819, 4393
Microdochium_bolleyi, 13165, 5707
Microsporum_canis, 8765, 3864
Millerozyma_farinosa, 11175, 4219
Mitosporidium_daphniae, 3330, 666
Mixia_osmundae, 6726, 3240
Mixia_osmundae, 6858, 3187
Moelleriella_libera, 8461, 4190
Moesziomyces_antarcticus, 4675, 2825
Moesziomyces_antarcticus, 6640, 4022
Moesziomyces_aphidis, 6011, 3572
Moniliophthora_perniciosa, 13559, 2784
Moniliophthora_roreri, 20131, 6807
Moniliophthora_roreri, 17910, 6202
Mortierella_elongata, 14961, 6595
Mortierella_verticillata, 1523, 598
Mucor_ambiguus, 11343, 4596
Mucor_circinelloides, 12227, 4676
Mucor_circinelloides, 11709, 3378
Mycosphaerella_eumusae, 12632, 5633
Nadsonia_fulvescens, 5649, 1969
Naematelia_encephala, 7964, 3959
Nannizzia_gypsea, 8921, 4114
Naumovozyma_castellii, 5592, 2145
Naumovozyma_dairenensis, 5548, 2312
Nematocida_displodere, 2278, 470
Nematocida_parisii, 2661, 416
Nematocida_parisii, 2726, 418
Nematocida_sp, 2770, 492
Nematocida_sp, 2433, 453
Nematocida_sp, 2709, 442
Neocallimastix_californiae, 20214, 6617
Neofusicoccum_parvum, 10366, 3986
Neolecta_irregularis, 5579, 1705
Neolentinus_lepideus, 13157, 4574
Neonectria_ditissima, 12685, 5523
Neosartorya_fischeri, 10395, 4245
Neurospora_crassa, 10813, 6148
Neurospora_crassa, 11653, 5705
Neurospora_tetrasperma, 10380, 5399
Neurospora_tetrasperma, 11186, 5582
Nosema_apis, 2764, 298
Nosema_bombycis, 4468, 527
Nosema_ceranae, 2060, 123
Nosema_ceranae, 3209, 168
Ogataea_parapolymorpha, 5325, 1634
Ogataea_polymorpha, 5173, 1425
Oidiodendron_maius, 16702, 4774
Ophiocordyceps_australis, 7992, 3907
Ophiocordyceps_australis, 8171, 3898
Ophiocordyceps_camponoti, 7618, 3819
Ophiocordyceps_sinensis, 6972, 3355
Ophiocordyceps_unilateralis, 8577, 4293
Ophiostoma_piceae, 8884, 4737
Ordospora_colligata, 1820, 140
Pachysolen_tannophilus, 46, 13
Paracoccidioides_brasiliensis, 8070, 4003
Paracoccidioides_brasiliensis, 8324, 4080
Paracoccidioides_brasiliensis, 8427, 4132
Paracoccidioides_brasiliensis, 8390, 4090
Paracoccidioides_sp, 8826, 4176
Paramicrosporidium_saccamoebae, 3766, 1041
Paraphaeosphaeria_sporulosa, 14734, 5617
Paxillus_involutus, 11740, 3751
Paxillus_rubicundulus, 22036, 5995
Penicilliopsis_zonata, 9870, 3951
Penicillium_antarcticum, 11514, 4541
Penicillium_arizonense, 12253, 4753
Penicillium_brasilianum, 11943, 4790
Penicillium_brasilianum, 10352, 4291
Penicillium_camemberti, 14418, 5116
Penicillium_chrysogenum, 11198, 4745
Penicillium_coprophilum, 8999, 3708
Penicillium_decumbens, 7149, 3276
Penicillium_digitatum, 8961, 3694
Penicillium_digitatum, 9133, 3817
Penicillium_expansum, 11023, 4322
Penicillium_expansum, 11060, 4315
Penicillium_expansum, 10663, 4101
Penicillium_flavigenum, 10994, 4375
Penicillium_freii, 11739, 4415
Penicillium_griseofulvum, 9630, 4048
Penicillium_italicum, 9996, 4132
Penicillium_nalgiovense, 11853, 4880
Penicillium_nordicum, 12959, 4491
Penicillium_occitanis, 11267, 4251
Penicillium_occitanis, 11231, 4234
Penicillium_oxalicum, 9979, 4352
Penicillium_polonicum, 10694, 4250
Penicillium_roqueforti, 12319, 4437
Penicillium_rubens, 12557, 4912
Penicillium_solitum, 11889, 4632
Penicillium_steckii, 10362, 4210
Penicillium_subrubescens, 14177, 4939
Penicillium_vulpinum, 10278, 4061
Peniophora_sp, 18945, 6466
Periconia_macrospinosa, 18735, 6509
Pestalotiopsis_fici, 15413, 5864
Pezoloma_ericae, 16783, 5913
Phaeoacremonium_minimum, 8834, 3281
Phaeomoniella_chlamydospora, 6907, 3390
Phaeosphaeria_nodorum, 12391, 5096
Phanerochaete_carnosa, 13925, 4557
Phellinus_noxius, 9820, 4431
Phialocephala_scopiformis, 18567, 6063
Phialocephala_subalpina, 20173, 7573
Phialophora_americana, 11909, 5675
Phialophora_attae, 11848, 5486
Phlebia_centrifuga, 13684, 5165
Phlebiopsis_gigantea, 11855, 4292
Pichia_kudriavzevii, 7107, 2291
Pichia_kudriavzevii, 5470, 1808
Pichia_kudriavzevii, 4949, 1797
Pichia_kudriavzevii, 5155, 1798
Pichia_membranifaciens, 4163, 1887
Pichia_membranifaciens, 5542, 1901
Piloderma_croceum, 21524, 6062
Piromyces_finnis, 10978, 3742
Piromyces_sp, 14612, 4025
Pisolithus_microcarpus, 20982, 5441
Pisolithus_tinctorius, 22653, 6460
Pleurotus_ostreatus, 12296, 4457
Plicaturopsis_crispa, 2717, 1081
Pneumocystis_carinii, 3646, 683
Pneumocystis_jirovecii, 3761, 714
Pneumocystis_murina, 3623, 541
Pochonia_chlamydosporia, 14204, 5305
Podospora_anserina, 10548, 5067
Polytolypa_hystricis, 9934, 4600
Postia_placenta, 9083, 3932
Postia_placenta, 12539, 4912
Protomyces_lactucaedebilis, 6725, 2239
Pseudocercospora_fijiensis, 13066, 4950
Pseudocercospora_musae, 13129, 5646
Pseudogymnoascus_destructans, 9153, 4462
Pseudogymnoascus_destructans, 9405, 4594
Pseudogymnoascus_sp, 10252, 4425
Pseudogymnoascus_sp, 10514, 4590
Pseudogymnoascus_sp, 10762, 4633
Pseudogymnoascus_sp, 10269, 4310
Pseudogymnoascus_sp, 9802, 4439
Pseudogymnoascus_sp, 9482, 4150
Pseudogymnoascus_sp, 9472, 3673
Pseudogymnoascus_sp, 9929, 4353
Pseudogymnoascus_sp, 8540, 3987
Pseudogymnoascus_sp, 8728, 4187
Pseudogymnoascus_sp, 8669, 4091
Pseudogymnoascus_sp, 8865, 3969
Pseudogymnoascus_sp, 10676, 4732
Pseudogymnoascus_sp, 9363, 4364
Pseudogymnoascus_sp, 10744, 4791
Pseudogymnoascus_sp, 11619, 5100
Pseudogymnoascus_sp, 10630, 4666
Pseudogymnoascus_sp, 11551, 4901
Pseudogymnoascus_sp, 11033, 4722
Pseudogymnoascus_verrucosus, 10685, 4536
Pseudoloma_neurophilia, 3644, 579
Pseudomassariella_vexata, 12565, 4672
Pseudomicrostroma_glucosiphilum, 6681, 3969
Pseudozyma_hubeiensis, 7472, 4103
Puccinia_coronata, 28270, 14487
Puccinia_graminis, 15979, 7886
Puccinia_graminisug99, 24524, 11913
Puccinia_sorghi, 21078, 6062
Puccinia_striiformis, 18019, 7417
Puccinia_striiformis, 20502, 9596
Puccinia_striiformis, 15090, 7298
Puccinia_triticina, 11638, 6314
Punctularia_strigosozonata, 2097, 762
Purpureocillium_lilacinum, 11773, 5402
Purpureocillium_lilacinum, 11763, 5431
Purpureocillium_lilacinum, 13150, 7839
Pyrenochaeta_sp, 14990, 5663
Pyrenophora_teres, 11799, 5343
Pyrenophora_tritici, 12086, 5096
Pyrenophora_tritici, 11072, 4961
Pyrenophora_tritici, 11239, 5006
Pyrenophora_tritici, 12525, 5249
Pyrenophora_triticirepentis, 12169, 5430
Rachicladosporium_antarcticum, 18781, 9140
Rachicladosporium_sp, 18892, 9026
Ramularia_collo, 11622, 5193
Rasamsonia_emersonii, 9843, 4705
Rhinocladiella_mackenziei, 11382, 4912
Rhizoclosmatium_globosum, 16987, 5095
Rhizoctonia_solani, 10993, 4472
Rhizoctonia_solani, 10489, 3813
Rhizoctonia_solani, 12209, 4763
Rhizoctonia_solani, 12726, 5250
Rhizoctonia_solani, 13951, 4856
Rhizoctonia_solani, 11897, 5291
Rhizophagus_clarus, 27761, 6541
Rhizophagus_irregularis, 43673, 10281
Rhizophagus_irregularis, 26147, 5068
Rhizophagus_irregularis, 29911, 6768
Rhizophagus_irregularis, 26476, 5447
Rhizophagus_irregularis, 26373, 5851
Rhizophagus_irregularis, 26618, 5451
